Chapter,ID,Chunk,Fellowship
9,53,"[Mr. Butterbur]: ‘He disappears for a month, or a year, and 
then he pops up again.’

[Mr. Butterbur]: ‘He was in and out pretty often last spring;
but I haven’t seen him about lately. What his right name is
I’ve never heard: but he’s known round here as Strider.
Goes about at a great pace on his long shanks; though he don’t tell
nobody what cause he has to hurry.’

[Mr. Butterbur]: ‘But there’s no accounting
for East and West, as we say in Bree, meaning the Rangers
and the Shire-folk, begging your pardon. Funny you should
ask about him.’",Neutral
13,43,"[Sam]: ‘Meaning your hand, Mr. Frodo. It has felt so cold through 
the long nights. But glory and trumpets!’
he cried, turning round again with shining eyes and
dancing on the floor.

[Sam]: ‘It’s fine to see you up and yourself again, sir!
Gandalf asked me to come and see if you were
ready to come down, and I thought he was joking.’
[Frodo]: ‘I am ready,’ said Frodo.
[Frodo]: ‘Let’s go and look for the rest of the party!’
[Sam]: ‘I can take you to them, sir,’ said Sam.",Positive
11,35,"After the Road had run down some way, and had left
Bree-hill standing tall and brown behind, they came on a
narrow track that led off towards the North.

[Aragorn]: ‘This is where we leave the open and take to cover,’ 
said Strider.

[Pippin]: ‘Not a ‘‘short cut’’, I hope,’ said Pippin.

[Pippin]: ‘Our last short cut through woods nearly ended in disaster.’

[Aragorn]: ‘Ah, but you had not got me with you then,’ laughed
Strider.

[Aragorn]: ‘My cuts, short or long, don’t go wrong.’
He took a look up and down the Road.",Positive
8,41,"He heard behind his head a creaking and scraping sound.

Raising himself on one arm he looked, and saw now in the
pale light that they were in a kind of passage which behind
them turned a corner.

Round the corner a long arm was
groping, walking on its fingers towards Sam, who was lying
nearest, and towards the hilt of the sword that lay upon him.

At first Frodo felt as if he had indeed been turned into
stone by the incantation.

Then a wild thought of escape came to him.",Negative
12,61,"Nothing happened. There was a gasp of astonishment
from the hobbits, and then even Frodo laughed.

[Frodo]: ‘Well!’ he said.
[Frodo]: ‘We are forgetting our family history! These must be
the very three that were caught by Gandalf, quarrelling over
the right way to cook thirteen dwarves and one hobbit.’

[Pippin]: ‘I had no idea we were anywhere near the place!’
said Pippin. He knew the story well.",Positive
22,26,"[Boromir]: ‘I do not say destroy it. That might be well, if reason could show 
any hope of doing so. It does not. The only plan that is proposed to us is that 
a halfling should walk blindly into Mordor and offer the Enemy every chance 
of recapturing it for himself. Folly!’

[Boromir]: ‘Surely you see it, my friend?’ he said, turning now suddenly 
to Frodo again.
[Boromir]: ‘You say that you are afraid.’ 
[Boromir]: ‘If it is so, the boldest should pardon you. But is it not 
really your good sense that revolts?’

[Frodo]: ‘No, I am afraid,’ said Frodo.
[Frodo]: ‘Simply afraid.’ ",Negative
22,10,"[Aragorn]: ‘Most likely it seems that if he were here now the choice would 
still wait on you. Such is your fate.’

Frodo did not answer at once. Then he spoke slowly.

[Frodo]: ‘I know that haste is needed, yet I cannot choose. The burden is 
heavy. Give me an hour longer, and I will speak. Let me be alone!’

Aragorn looked at him with kindly pity.

[Aragorn]: ‘Very well, Frodo son of Drogo,’ he said.
[Aragorn]: ‘You shall have an hour, and you shall be alone.
We will stay here for a while. But do not stray far or out of call.’",Negative
7,69,"Merry turned towards him to say something and gave a
start, and checked an exclamation.

Frodo was delighted (in
a way): it was his own ring all right, for Merry was staring
blankly at his chair, and obviously could not see him.

He got
up and crept quietly away from the fireside towards the outer
door.

[Tom Bombadil]: ‘Hey there!’ cried Tom, glancing towards him with a most
seeing look in his shining eyes.

[Tom Bombadil]: ‘Hey! Come Frodo, there!
Where be you a-going? Old Tom Bombadil’s not as blind as
that yet.",Positive
10,46,"[Gandalf]: ‘I will return as soon as I can; and I will follow
you, if I find that you are gone.’

[Gandalf]: ‘Leave a message for me here, if
you pass through Bree.
You can trust the landlord (Butterbur).
You may meet a friend of mine on the Road: a Man, lean, dark,
tall, by some called Strider.
He knows our business and will help you.’
[Gandalf]: ‘Make for Rivendell.
There I hope we may meet again.’",Neutral
15,68,"[Gandalf]: ‘The land and the weather will be milder now, but perhaps 
all the more dangerous.’

[Frodo]: ‘Dangerous or not, a real sunrise is mighty welcome,’ said
Frodo, throwing back his hood and letting the morning light
fall on his face.

[Pippin]: ‘But the mountains are ahead of us,’ said Pippin.
[Pippin]: ‘We must have turned eastwards in the night.’
[Gandalf]: ‘No,’ said Gandalf.

[Gandalf]: ‘But you see further ahead in the clear light.
Beyond those peaks the range bends round south-west.’",Positive
1,44,"Many of them had indeed been ordered a year before,
and had come all the way from the Mountain and from Dale,
and were of real dwarf-make.

When every guest had been welcomed and was finally
inside the gate, there were songs, dances, music, games, and,
of course, food and drink.

There were three official meals:
lunch, tea, and dinner (or supper).

But lunch and tea were
marked chiefly by the fact that at those times all the guests
were sitting down and eating together.",Neutral
12,2,"Suddenly to his horror Sam found that his master had 
vanished; and at that moment a black shadow rushed 
past him, and he fell. He heard Frodo’s voice, but it seemed 
to come from a great distance, or from under the earth, 
crying out strange words.

They saw nothing more, until they stumbled over the body
of Frodo, lying as if dead, face downwards on the grass with
his sword beneath him.

Strider ordered them to pick him up
and lay him near the fire, and then he disappeared.",Negative
14,156,"[Gandalf]: ‘And I was glad, for in the Riddermark of Rohan the Rohirrim, the
Horse-lords, dwell, and there are no horses like those that are
bred in that great vale between the Misty Mountains and the White.’

[Gandalf]: ‘[Gandalf]: ‘‘Are the Men of Rohan still to be trusted, do you think?’’
I said to Gwaihir, for the treason of Saruman had shaken my faith.
[Gwaihir]: ‘‘They pay a tribute of horses,’’ he answered, [Gwaihir]: ‘‘and send
many yearly to Mordor, or so it is said; but they are not yet under the yoke. 
But if Saruman has become evil, as you say, then their doom cannot be long 
delayed.’’ ’",Positive
17,46,"[Gandalf]: ‘What it was I cannot guess, but I have never felt such a
challenge. The counter-spell was terrible. It nearly broke me.’

[Gandalf]: ‘For an instant the door left my control and began to open!
I had to speak a word of Command. That proved too great a strain. The 
door burst in pieces. Something dark as a cloud was blocking out all the 
light inside, and I was thrown backwards down  the stairs. All the wall 
gave way, and the roof of the chamber as well, I think.’

[Gandalf]: ‘I am afraid Balin is buried deep, and maybe something 
else is buried there too. I cannot say.’",Negative
2,104,"[Gandalf]: ‘That is a sample of his talk.I don’t suppose you want any
more.’

[Gandalf]: ‘I had weary days of it. But from hints dropped among
the snarls I gathered that his padding feet had taken him at
last to Esgaroth, and even to the streets of Dale, listening
secretly and peering.’

[Gandalf]: ‘Well, the news of the great events went
far and wide in Wilderland, and many had heard Bilbo’s
name and knew where he came from.’",Neutral
13,67,"[Gloin]: ‘If you really wish to hear of us, I will tell you tidings gladly.
But stop me when you are weary! Dwarves’ tongues run on when 
speaking of their handiwork, they say.’

And with that Gloin embarked on a long account of the
doings of the Dwarf-kingdom.",Neutral
5,58,"[Merry]: ‘But, of course,
Buckland cannot resist a determined attack for long.’

[Merry]: ‘And it is possible that in the morning even a 
Black Rider that rode up and asked for Mr. Baggins would 
be let through. It is pretty generally known that you are 
coming back to live at Crickhollow.’

Frodo sat for a while in thought.

[Frodo]: ‘I have made up my
mind,’ he said finally.

[Frodo]: ‘I am starting tomorrow, as soon as it
is light. But I am not going by road: it would be safer 
to wait here than that.’",Neutral
13,117,"Frodo halted for a moment, looking back. Elrond was in
his chair and the fire was on his face like summer-light upon
the trees. Near him sat the Lady Arwen.

To his surprise Frodo saw that Aragorn stood beside her; 
his dark cloak was thrown back, and he seemed to be clad 
in elven-mail, and a star shone on his breast.

They spoke together, and then suddenly it seemed to Frodo 
that Arwen turned towards him, and the light of her eyes fell 
on him from afar and pierced his heart.

He stood still enchanted, while the sweet syllables of the
Elvish song fell like clear jewels of blended word and melody.",Positive
3,12,"Just why Mr. Frodo was selling his beautiful hole was even
more debatable than the price.

A few held the theory – supported by the nods and hints 
of Mr. Baggins himself – that Frodo’s money was running 
out: he was going to leave Hobbiton and live in a quiet way 
on the proceeds of the sale down in Buckland among 
his Brandybuck relations.

[Public]: ‘As far
from the Sackville-Bagginses as may be,’ some added.",Neutral
21,88,"The left hand of each was raised palm outwards in gesture of
warning; in each right hand there was an axe; upon each head
there was a crumbling helm and crown. Great power and majesty 
they still wore, the silent wardens of a long-vanished kingdom.

Awe and fear fell upon Frodo, and he cowered down, shutting his eyes 
and not daring to look up as the boat drew near.",Negative
1,73,"But at the same time he felt deeply troubled:
he realized suddenly that he loved the old hobbit dearly.

Most of the guests went on eating and drinking and discussing
Bilbo Baggins’ oddities, past and present; but the Sackville-

Bagginses had already departed in wrath. Frodo did not want
to have any more to do with the party.",Negative
